Shot,ID,Zeff,dn0out,AFID case,NMDIFB,NLFB_NEUTCNTRL,N_ANALYTIC_FORM_D2F,APROF_EDGE_VALUE_D2F,MODULATION,priority,submitted
204000,S00,1.5,5.00e+10,classical,0,.FALSE.,0,0,1,10,1
204000,S01,1.5,5.00e+10,peaked,3,.TRUE.,1,0,1,10,0
204000,S02,1.5,5.00e+10,flat,1,.TRUE.,0,1,1,10,0
204000,S03,2.5,5.00e+10,classical,0,.FALSE.,0,0,1,10,0
204000,S04,2.5,5.00e+10,peaked,3,.TRUE.,1,0,0,10,0
204000,S05,2.5,5.00e+10,flat,1,.TRUE.,0,1,1,10,0
204000,S06,3.5,5.00e+10,classical,0,.FALSE.,0,0,1,10,0
204000,S07,3.5,5.00e+10,peaked,3,.TRUE.,1,0,1,10,0
204000,S08,3.5,5.00e+10,flat,1,.TRUE.,0,1,0,10,0
204000,S09,1.5,7.07e+11,classical,0,.FALSE.,0,0,1,10,1
204000,S10,1.5,7.07e+11,peaked,3,.TRUE.,1,0,1,10,0
204000,S11,1.5,7.07e+11,flat,1,.TRUE.,0,1,0,10,0
204000,S12,2.5,7.07e+11,classical,0,.FALSE.,0,0,1,10,0
204000,S13,2.5,7.07e+11,peaked,3,.TRUE.,1,0,1,10,0
204000,S14,2.5,7.07e+11,flat,1,.TRUE.,0,1,1,10,0
204000,S15,3.5,7.07e+11,classical,0,.FALSE.,0,0,1,10,0
204000,S16,3.5,7.07e+11,peaked,3,.TRUE.,1,0,0,10,0
204000,S17,3.5,7.07e+11,flat,1,.TRUE.,0,1,1,10,0
204000,S18,1.5,1.00e+13,classical,0,.FALSE.,0,0,1,10,0
204000,S19,1.5,1.00e+13,peaked,3,.TRUE.,1,0,1,10,1
204000,S20,1.5,1.00e+13,flat,1,.TRUE.,0,1,1,10,0
204000,S21,2.5,1.00e+13,classical,0,.FALSE.,0,0,0,10,0
204000,S22,2.5,1.00e+13,peaked,3,.TRUE.,1,0,1,10,0
204000,S23,2.5,1.00e+13,flat,1,.TRUE.,0,1,0,10,0
204000,S24,3.5,1.00e+13,classical,0,.FALSE.,0,0,0,10,0
204000,S25,3.5,1.00e+13,peaked,3,.TRUE.,1,0,1,10,0
204000,S26,3.5,1.00e+13,flat,1,.TRUE.,0,1,0,10,0
204000,S27,2.0,1.88e+11,classical,0,.FALSE.,0,0,1,7,0
204000,S28,2.0,1.88e+11,peaked,3,.TRUE.,1,0,1,7,0
204000,S29,2.0,1.88e+11,flat,1,.TRUE.,0,1,1,7,0
204000,S30,3.0,1.88e+11,classical,0,.FALSE.,0,0,1,7,0
204000,S31,3.0,1.88e+11,peaked,3,.TRUE.,1,0,1,7,0
204000,S32,3.0,1.88e+11,flat,1,.TRUE.,0,1,1,7,0
204000,S33,2.0,2.66e+12,classical,0,.FALSE.,0,0,1,7,0
204000,S34,2.0,2.66e+12,peaked,3,.TRUE.,1,0,1,7,0
204000,S35,2.0,2.66e+12,flat,1,.TRUE.,0,1,1,7,0
204000,S36,3.0,2.66e+12,classical,0,.FALSE.,0,0,1,7,0
204000,S37,3.0,2.66e+12,peaked,3,.TRUE.,1,0,1,7,0
204000,S38,3.0,2.66e+12,flat,1,.TRUE.,0,1,1,7,0
204001,S00,1.5,5.00e+10,classical,0,.FALSE.,0,0,1,10,0
204001,S01,1.5,5.00e+10,peaked,3,.TRUE.,1,0,1,10,0
204001,S02,1.5,5.00e+10,flat,1,.TRUE.,0,1,1,10,0
